N, P, entropy, rsquared, cycles, heap sort, insertion sort, merge sort, selection sort, smooth sort, tim sort
10000, 0.000000, 0.000000, 1.000000, 10, 12.300000, 0.800000, 25.900000, 443.300000, 7.900000, 15.500000
10000, 0.000000, 0.000000, 1.000000, 10, 11.900000, 0.600000, 24.600000, 441.900000, 7.800000, 15.800000
10000, 0.000000, 0.000000, 1.000000, 10, 12.700000, 0.700000, 25.500000, 436.900000, 7.800000, 15.100000
10000, 0.000000, 0.000000, 1.000000, 10, 12.800000, 0.800000, 25.100000, 433.100000, 7.800000, 15.400000
10000, 0.000000, 0.000000, 1.000000, 10, 12.100000, 0.600000, 25.300000, 429.000000, 7.700000, 16.200000
10000, 0.000000, 0.000000, 1.000000, 10, 12.800000, 0.700000, 25.200000, 433.800000, 7.600000, 15.900000
10000, 0.000000, 0.000000, 1.000000, 10, 11.900000, 0.700000, 24.700000, 428.000000, 7.800000, 15.300000
10000, 0.000000, 0.000000, 1.000000, 10, 12.400000, 0.700000, 25.300000, 424.500000, 7.200000, 15.900000
15000, 0.000000, 0.000000, 1.000000, 10, 17.800000, 1.000000, 37.700000, 982.900000, 11.500000, 27.900000
15000, 0.000000, 0.000000, 1.000000, 10, 17.600000, 1.100000, 37.500000, 978.600000, 11.500000, 27.500000
15000, 0.000000, 0.000000, 1.000000, 10, 17.900000, 0.800000, 37.800000, 992.500000, 11.600000, 28.200000
15000, 0.000000, 0.000000, 1.000000, 10, 18.200000, 1.000000, 37.600000, 1020.100000, 11.600000, 27.700000
15000, 0.000000, 0.000000, 1.000000, 10, 18.700000, 1.100000, 37.700000, 1007.300000, 11.900000, 27.600000
15000, 0.000000, 0.000000, 1.000000, 10, 18.000000, 1.100000, 37.900000, 1012.600000, 11.600000, 28.700000
15000, 0.000000, 0.000000, 1.000000, 10, 17.800000, 1.000000, 37.500000, 986.500000, 11.700000, 28.000000
15000, 0.000000, 0.000000, 1.000000, 10, 18.700000, 1.000000, 37.900000, 984.600000, 11.900000, 27.800000
15000, 0.000000, 0.000000, 1.000000, 10, 17.400000, 0.900000, 37.300000, 988.900000, 11.500000, 28.000000
15000, 0.000000, 0.000000, 1.000000, 10, 18.000000, 0.900000, 37.800000, 981.200000, 11.400000, 27.900000
20000, 0.000000, 0.000000, 1.000000, 10, 23.300000, 1.600000, 52.700000, 1807.700000, 15.200000, 41.100000
20000, 0.000000, 0.000000, 1.000000, 10, 23.000000, 1.700000, 53.100000, 1795.300000, 15.200000, 40.700000
20000, 0.000000, 0.000000, 1.000000, 10, 23.300000, 2.000000, 52.900000, 1806.200000, 15.500000, 40.400000
20000, 0.000000, 0.000000, 1.000000, 10, 22.900000, 1.500000, 53.300000, 1801.400000, 15.100000, 40.500000
20000, 0.000000, 0.000000, 1.000000, 10, 22.700000, 1.700000, 54.000000, 1785.400000, 14.900000, 40.700000
20000, 0.000000, 0.000000, 1.000000, 10, 23.000000, 1.700000, 52.900000, 1772.300000, 15.100000, 40.200000
20000, 0.000000, 0.000000, 1.000000, 10, 22.700000, 1.500000, 53.200000, 1771.100000, 15.200000, 40.200000
20000, 0.000000, 0.000000, 1.000000, 10, 22.900000, 1.700000, 53.200000, 1790.600000, 15.000000, 40.500000
20000, 0.000000, 0.000000, 1.000000, 10, 22.800000, 1.800000, 52.700000, 1786.000000, 15.200000, 40.500000
20000, 0.000000, 0.000000, 1.000000, 10, 22.700000, 1.600000, 53.200000, 1782.200000, 15.100000, 41.100000
50000, 0.000000, 0.000000, 1.000000, 10, 64.500000, 3.100000, 128.100000, 16062.400000, 40.500000, 100.100000
50000, 0.000000, 0.000000, 1.000000, 10, 61.900000, 3.000000, 125.800000, 15835.800000, 39.000000, 100.700000
50000, 0.000000, 0.000000, 1.000000, 10, 62.700000, 3.000000, 125.800000, 15764.200000, 39.300000, 100.500000
50000, 0.000000, 0.000000, 1.000000, 10, 62.600000, 3.000000, 126.200000, 15754.700000, 39.600000, 100.700000
50000, 0.000000, 0.000000, 1.000000, 10, 62.400000, 3.000000, 125.900000, 15756.500000, 39.100000, 100.700000
50000, 0.000000, 0.000000, 1.000000, 10, 62.300000, 2.900000, 125.900000, 15759.600000, 39.600000, 100.500000
50000, 0.000000, 0.000000, 1.000000, 10, 62.300000, 3.000000, 126.100000, 15754.900000, 39.100000, 100.700000
50000, 0.000000, 0.000000, 1.000000, 10, 62.900000, 3.000000, 127.100000, 15746.600000, 39.600000, 100.900000
50000, 0.000000, 0.000000, 1.000000, 10, 61.900000, 3.100000, 125.900000, 15746.300000, 39.200000, 101.000000
50000, 0.000000, 0.000000, 1.000000, 10, 62.100000, 3.000000, 126.000000, 15735.700000, 40.100000, 100.500000
50000, 0.000000, 0.000000, 1.000000, 10, 62.600000, 3.000000, 127.600000, 16581.800000, 39.800000, 99.400000
50000, 0.000000, 0.000000, 1.000000, 10, 63.000000, 3.100000, 126.000000, 16550.300000, 40.300000, 99.700000
50000, 0.000000, 0.000000, 1.000000, 10, 62.900000, 3.200000, 126.000000, 16544.600000, 40.400000, 99.200000
50000, 0.000000, 0.000000, 1.000000, 10, 63.000000, 3.400000, 125.400000, 16542.100000, 40.300000, 99.700000
50000, 0.000000, 0.000000, 1.000000, 10, 62.800000, 3.000000, 125.200000, 16507.100000, 39.300000, 99.400000
50000, 0.000000, 0.000000, 1.000000, 10, 61.700000, 3.000000, 125.000000, 16548.400000, 38.500000, 99.600000
50000, 0.000000, 0.000000, 1.000000, 10, 62.200000, 3.100000, 125.700000, 16534.400000, 39.700000, 99.600000
50000, 0.000000, 0.000000, 1.000000, 10, 63.000000, 3.100000, 125.700000, 16572.400000, 40.700000, 99.600000
50000, 0.000000, 0.000000, 1.000000, 10, 63.100000, 3.400000, 125.500000, 16568.100000, 40.400000, 99.400000
50000, 0.000000, 0.000000, 1.000000, 10, 63.000000, 3.100000, 125.500000, 16548.700000, 40.900000, 99.100000
